time,seconds_elapsed,z,y,x,,z,y,x,,,t,z,y,x
1.68301E+18,1.821401367,1.16079998,-0.197399989,1.988699913,,1.271099925,-0.50849998,9.710599899,,,90,2.431899905,-0.705899969,11.69929981
1.68301E+18,1.841399658,1.061100006,-0.493699998,2.504699945,,1.243399978,-0.506500006,9.714300156,,,91,2.304499984,-1.000200003,12.2190001
1.68301E+18,1.861399658,0.659799993,-0.632499993,2.130100012,,1.23269999,-0.495199978,9.716199875,,,92,1.892499983,-1.127699971,11.84629989
1.68301E+18,1.881401367,0.243299991,-0.798199952,1.503399968,,1.247200012,-0.476599991,9.715299606,,,93,1.490500003,-1.274799943,11.21869957
1.68301E+18,1.901399658,0.35709998,-1.46420002,1.907599926,,1.270699978,-0.457800001,9.71309948,,,94,1.627799958,-1.922000021,11.62069941
1.68301E+18,1.921399658,1.305199981,-2.21329999,4.034599781,,1.264099956,-0.453999996,9.71420002,,,95,2.569299936,-2.667299986,13.7487998
1.68301E+18,1.941399658,2.221999884,-1.814099908,5.44119978,,1.210199952,-0.480499983,9.719799995,,,96,3.432199836,-2.294599891,15.16099977
1.68301E+18,1.961401367,2.361299992,-0.878999949,4.351599693,,1.178799987,-0.533100009,9.720899582,,,97,3.540099978,-1.412099957,14.07249928
1.68301E+18,1.981399658,1.225399971,-0.491999984,1.925499916,,1.216400027,-0.557200015,9.714900017,,,98,2.441799998,-1.049199998,11.64039993
1.68301E+18,2.001399658,-0.075099997,-0.558399975,0.217999995,,1.291199923,-0.539900005,9.706199646,,,99,1.216099925,-1.09829998,9.924199641
1.68301E+18,2.021401367,-0.954999983,-0.995499969,-0.225400001,,1.35710001,-0.514599979,9.698599815,,,100,0.402100027,-1.510099947,9.473199815
1.68301E+18,2.041399658,-1.184399962,-1.359799981,-0.350600004,,1.380499959,-0.493599981,9.696399689,,,101,0.196099997,-1.853399962,9.345799685
1.68301E+18,2.061399658,-0.454299986,-1.4375,-0.155100003,,1.376099944,-0.494299978,9.69699955,,,102,0.921799958,-1.931799978,9.541899547
1.68301E+18,2.081399658,0.736899972,-1.066699982,0.109499998,,1.361599922,-0.531700015,9.69699955,,,103,2.098499894,-1.598399997,9.806499548
1.68301E+18,2.101399658,1.397599936,-0.650699973,-0.0049,,1.357900023,-0.594599962,9.693900108,,,104,2.755499959,-1.245299935,9.689000108
1.68301E+18,2.121399658,1.256099939,-0.296000004,-0.186099991,,1.362200022,-0.664999962,9.688699722,,,105,2.618299961,-0.960999966,9.502599731
1.68301E+18,2.141399658,0.394999981,-0.0029,-0.533100009,,1.370100021,-0.732499957,9.682700157,,,106,1.765100002,-0.735399957,9.149600148
1.68301E+18,2.161401367,-0.447599977,0.226999998,-0.526799977,,1.379199982,-0.795799971,9.676499367,,,107,0.931600004,-0.568799973,9.14969939
1.68301E+18,2.181399658,-0.922299981,0.475400001,-0.342999995,,1.393000007,-0.857899964,9.669199944,,,108,0.470700026,-0.382499963,9.326199949
1.68301E+18,2.201399658,-1.406399965,0.591199994,-0.285400003,,1.416199923,-0.914799988,9.660599709,,,109,0.009799957,-0.323599994,9.375199705
1.68301E+18,2.221399658,-1.398899913,0.786399961,-0.570199966,,1.447899938,-0.962899983,9.651199341,,,110,0.049000025,-0.176500022,9.080999374
1.68301E+18,2.241399658,-1.225899935,0.882699966,-0.904599965,,1.48089993,-1.000399947,9.642399788,,,111,0.254999995,-0.117699981,8.737799823
1.68301E+18,2.261399658,-1.229900002,0.956200004,-1.269500017,,1.514299989,-1.02489996,9.634599686,,,112,0.284399986,-0.068699956,8.365099669
1.68301E+18,2.281399658,-1.67019999,0.977799952,-1.723099947,,1.552599907,-1.036599994,9.627299309,,,113,-0.117600083,-0.058800042,7.904199362
1.68301E+18,2.301401367,-2.348799944,0.881099999,-2.27519989,,1.593699932,-1.038100004,9.620399475,,,114,-0.755100012,-0.157000005,7.345199585
1.68301E+18,2.321399658,-2.486099958,0.628099978,-3.075299978,,1.623099923,-1.030200005,9.616299629,,,115,-0.863000035,-0.402100027,6.540999651
1.68301E+18,2.341399658,-2.362499952,0.463999987,-3.026299953,,1.626999974,-1.023000002,9.616399765,,,116,-0.735499978,-0.559000015,6.590099812
1.68301E+18,2.361399658,-1.994699955,0.372399986,-1.833400011,,1.602399945,-1.029399991,9.61989975,,,117,-0.39230001,-0.657000005,7.786499739
1.68301E+18,2.381401367,-1.132799983,0.154299989,-0.419999987,,1.544699907,-1.036899924,9.628499985,,,118,0.411899924,-0.882599935,9.208499998
1.68301E+18,2.401399658,0.610899985,-0.0033,0.607299984,,1.467999935,-1.036199927,9.640600204,,,119,2.07889992,-1.039499927,10.24790019
1.68301E+18,2.421399658,1.932500005,0.0134,0.675899982,,1.411399961,-1.023499966,9.650400162,,,120,3.343899965,-1.010099966,10.32630014
1.68301E+18,2.441399658,1.244199991,0.282299995,-0.583000004,,1.403499961,-0.998099983,9.6541996,,,121,2.647699952,-0.715799987,9.071199596
1.68301E+18,2.461401367,-0.125100002,0.49149999,-1.465499997,,1.429399967,-0.962300003,9.653999329,,,122,1.304299966,-0.470800012,8.188499331
1.68301E+18,2.481399658,-0.975999951,0.394999981,-1.11500001,,1.43690002,-0.924499989,9.656599998,,,123,0.460900068,-0.529500008,8.541599989
1.68301E+18,2.501399658,-0.638700008,0.064099997,0.057099998,,1.423200011,-0.897699952,9.66119957,,,124,0.784500003,-0.833599955,9.718299568
1.68301E+18,2.521401367,0.647099972,-0.353799999,1.358299971,,1.412099957,-0.881799996,9.664199829,,,125,2.059199929,-1.235599995,11.0224998
1.68301E+18,2.541399658,1.588999987,-0.436800003,2.825999975,,1.392099977,-0.877200007,9.667599678,,,126,2.981099963,-1.31400001,12.49359965
1.68301E+18,2.561399658,1.61559999,0.074000001,3.480199814,,1.365499973,-0.887999952,9.670399666,,,127,2.981099963,-0.813999951,13.15059948
1.68301E+18,2.581399658,1.429199934,0.358399987,3.79219985,,1.345999956,-0.897799969,9.672200203,,,128,2.77519989,-0.539399981,13.46440005
1.68301E+18,2.601399658,1.194399953,0.277999997,3.62349987,,1.345399976,-0.876199961,9.674300194,,,129,2.539799929,-0.598199964,13.29780006
1.68301E+18,2.621399658,0.8574,-0.325499982,2.982899904,,1.368600011,-0.802100003,9.677399635,,,130,2.226000011,-1.127599984,12.66029954
1.68301E+18,2.641399658,0.846099973,-1.162199974,2.49119997,,1.419199944,-0.691199958,9.678699493,,,131,2.265299916,-1.853399932,12.16989946
1.68301E+18,2.661401367,0.957899988,-1.911399961,2.07130003,,1.483899951,-0.569499969,9.67689991,,,132,2.441799939,-2.48089993,11.74819994
1.68301E+18,2.681399658,0.931699991,-2.037499905,1.799799919,,1.539499998,-0.463099986,9.673899651,,,133,2.471199989,-2.500599891,11.47369957
1.68301E+18,2.701399658,0.550799966,-1.692899942,0.988499999,,1.577099919,-0.385999978,9.671199799,,,134,2.127899885,-2.07889992,10.6596998
1.68301E+18,2.721399658,0.0037,-1.524500012,-0.14819999,,1.594699979,-0.32889998,9.670499802,,,135,1.598399979,-1.853399992,9.522299811
1.68301E+18,2.741401367,-0.191399992,-1.503299952,-0.823300004,,1.613399982,-0.281399995,9.668899536,,,136,1.421999991,-1.784699947,8.845599532
1.68301E+18,2.761399658,-0.044499997,-1.403999925,-0.214099988,,1.623399973,-0.262999982,9.667699814,,,137,1.578899976,-1.666999906,9.453599826
1.68301E+18,2.781399658,0.148000002,-1.107499957,0.303200006,,1.607299924,-0.275099993,9.670100212,,,138,1.755299926,-1.38259995,9.973300219
1.68301E+18,2.801399658,0.475599974,-0.736799955,0.143199995,,1.583699942,-0.302599996,9.673099518,,,139,2.059299916,-1.039399952,9.816299513
1.68301E+18,2.821399658,0.828700006,-0.503600001,-0.524299979,,1.573799968,-0.329899997,9.673899651,,,140,2.402499974,-0.833499998,9.149599671
1.68301E+18,2.841399658,0.919099987,-0.412599981,-0.983099997,,1.581499934,-0.352200001,9.67179966,,,141,2.500599921,-0.764799982,8.688699663
1.68301E+18,2.861399658,0.525600016,-0.390899986,-1.343299985,,1.592499971,-0.373899996,9.669199944,,,142,2.118099988,-0.764799982,8.325899959
1.68301E+18,2.881401367,0.073699996,-0.298799992,-1.352100015,,1.593299985,-0.397399992,9.668099403,,,143,1.666999981,-0.696199983,8.315999389
1.68301E+18,2.901399658,0.104699999,-0.081799999,-1.264400005,,1.582000017,-0.428000003,9.668700218,,,144,1.686700016,-0.509800002,8.404300213
1.68301E+18,2.921399658,0.381799996,0.149399996,-1.019600034,,1.569700003,-0.463200003,9.669099808,,,145,1.951499999,-0.313800007,8.649499774
1.68301E+18,2.941399658,0.501399994,0.333900005,-0.803900003,,1.557899952,-0.50059998,9.669099808,,,146,2.059299946,-0.166699976,8.865199804
1.68301E+18,2.961401367,0.631599963,0.603999972,-0.735399961,,1.545399904,-0.535299957,9.669300079,,,147,2.176999867,0.068700016,8.933900118
1.68301E+18,2.981399658,0.60589999,0.866799951,-0.961499989,,1.531799912,-0.56279999,9.669799805,,,148,2.137699902,0.30399996,8.708299816
1.68301E+18,3.001399658,0.239999995,1.027599931,-1.167699933,,1.525099993,-0.576499999,9.670100212,,,149,1.765099987,0.451099932,8.502400279
1.68301E+18,3.021401367,-0.091699995,1.226400018,-1.520900011,,1.523499966,-0.57919997,9.670199394,,,150,1.431799971,0.647200048,8.149299383
1.68301E+18,3.041399658,-0.321700007,1.306100011,-1.795300007,,1.527999997,-0.570599973,9.670000076,,,151,1.20629999,0.735500038,7.874700069
1.68301E+18,3.061399658,-0.309899986,1.279199958,-2.000999928,,1.53579998,-0.553499997,9.669799805,,,152,1.225899994,0.725699961,7.668799877
1.68301E+18,3.081399658,-0.270599991,1.132799983,-2.285399914,,1.545499921,-0.524800003,9.669799805,,,153,1.27489993,0.60799998,7.384399891
1.68301E+18,3.101399658,0.113899998,0.906599998,-2.097899914,,1.562899947,-0.494699985,9.668600082,,,154,1.676799946,0.411900014,7.570700169
1.68301E+18,3.121399658,0.55369997,0.656499982,-1.10679996,,1.574199915,-0.470200002,9.668000221,,,155,2.127899885,0.18629998,8.561200261
1.68301E+18,3.141399658,0.862999976,0.533599973,0.031199999,,1.578799963,-0.464899987,9.667499542,,,156,2.441799939,0.068699986,9.698699541
1.68301E+18,3.161401367,1.041800022,0.726099968,0.68809998,,1.576499939,-0.471100003,9.667599678,,,157,2.618299961,0.254999965,10.35569966
1.68301E+18,3.181399658,0.847799957,0.83829999,0.755099952,,1.564499974,-0.475400001,9.669300079,,,158,2.412299931,0.362899989,10.42440003
1.68301E+18,3.201399658,0.523499966,0.782700002,0.036899999,,1.555400014,-0.458999991,9.671599388,,,159,2.07889998,0.323700011,9.708499387
1.68301E+18,3.221399658,0.140699998,0.516200006,-0.062799998,,1.555699944,-0.418199986,9.673399925,,,160,1.696399942,0.09800002,9.610599928
1.68301E+18,3.241401367,-0.0163,0.181999996,0.415600002,,1.555899978,-0.368299991,9.67539978,,,161,1.539599977,-0.186299995,10.09099978
1.68301E+18,3.261399658,0.031500001,-0.232799992,2.019399881,,1.537400007,-0.326099992,9.679800034,,,162,1.568900008,-0.558899984,11.69919991
1.68301E+18,3.281399658,0.301999986,-0.641799986,3.982699871,,1.492499948,-0.299499989,9.687699318,,,163,1.794499934,-0.941299975,13.67039919
1.68301E+18,3.301399658,0.613699973,-0.880099952,4.994800091,,1.445599914,-0.27699998,9.69549942,,,164,2.059299886,-1.157099932,14.69029951
1.68301E+18,3.321401367,0.682399988,-0.724099994,4.381799698,,1.416099906,-0.256500006,9.700399399,,,165,2.098499894,-0.980599999,14.0821991
1.68301E+18,3.341399658,0.385299981,-0.614300013,2.930199862,,1.41899991,-0.2289,9.700699806,,,166,1.804299891,-0.843200013,12.63089967
1.68301E+18,3.361399658,0.1734,-1.011999965,2.403399944,,1.444599986,-0.184299991,9.697899818,,,167,1.617999986,-1.196299955,12.10129976
1.68301E+18,3.381401367,-0.205599993,-1.192700028,2.375599861,,1.460899949,-0.131099999,9.696299553,,,168,1.255299956,-1.323800027,12.07189941
1.68301E+18,3.401399658,-0.717299998,-1.165799975,1.875199914,,1.462599993,-0.079499997,9.69659996,,,169,0.745299995,-1.245299973,11.57179987
