time,seconds_elapsed,z,y,x,,z,y,x,,t,z,y,x
1.68301E+18,2.381399658,-0.582099974,0.335099995,-2.111700058,,1.35679996,0.086499996,9.711899757,,118,0.774699986,0.421599992,7.600199699
1.68301E+18,2.401401123,-0.92869997,0.352499992,-2.091699839,,1.360199928,0.078899994,9.711500168,,119,0.431499958,0.431399986,7.619800329
1.68301E+18,2.421399658,-1.068099976,0.327800006,-1.983599901,,1.362299919,0.074199997,9.71119976,,120,0.294199944,0.402000003,7.727599859
1.68301E+18,2.441399658,-0.932500005,0.314799994,-1.435599923,,1.354200006,0.067499995,9.712399483,,121,0.421700001,0.382299989,8.27679956
1.68301E+18,2.461399658,-0.671299994,0.270399988,-0.399699986,,1.328299999,0.053099997,9.716099739,,122,0.657000005,0.323499985,9.316399753
1.68301E+18,2.481399658,-0.561399996,0.279199988,0.037099998,,1.296899915,0.034499999,9.720399857,,123,0.735499918,0.313699987,9.757499855
1.68301E+18,2.501399658,-0.640699983,0.259599984,-0.42749998,,1.268299937,0.024699999,9.724199295,,124,0.627599955,0.284299983,9.296699315
1.68301E+18,2.521399658,-0.537099957,0.27669999,-1.059599996,,1.233399987,0.027199998,9.728699684,,125,0.69630003,0.303899989,8.669099689
1.68301E+18,2.541399658,-0.341699988,0.29339999,-1.536299944,,1.184999943,0.030099999,9.734700203,,126,0.843299955,0.323499989,8.198400259
1.68301E+18,2.561399658,-0.226199999,0.448299974,-2.228399992,,1.138199925,0.032099999,9.740300179,,127,0.911999926,0.480399974,7.511900187
1.68301E+18,2.581399658,-0.126599997,0.471799999,-2.32130003,,1.097499967,0.037999999,9.74489975,,128,0.970899969,0.509799998,7.42359972
1.68301E+18,2.601399658,0.018099999,0.216199994,-1.442799926,,1.060500026,0.038699999,9.748999596,,129,1.078600025,0.254899994,8.30619967
1.68301E+18,2.621399658,-0.179700002,-0.1237,-0.151299998,,1.032899976,0.035399999,9.751999855,,130,0.853199974,-0.088300001,9.600699857
1.68301E+18,2.641399658,-0.340299994,-0.35589999,1.473799944,,1.007099986,0.022499999,9.754699707,,131,0.666799992,-0.333399991,11.22849965
1.68301E+18,2.661399658,-0.0744,-0.368999988,2.871999979,,0.966799974,-0.0035,9.758799553,,132,0.892399974,-0.372499988,12.63079953
1.68301E+18,2.681399658,0.435199976,-0.327499986,3.553900003,,0.918099999,-0.0352,9.763500214,,133,1.353299975,-0.362699986,13.31740022
1.68301E+18,2.701399658,0.894499958,-0.350400001,3.17869997,,0.890199959,-0.051599998,9.765999794,,134,1.784699917,-0.401999999,12.94469976
1.68301E+18,2.721399658,1.057799935,-0.700999975,2.767099857,,0.893700004,-0.044199999,9.765699387,,135,1.951499939,-0.745199975,12.53279924
1.68301E+18,2.741399658,1.101599932,-1.150699973,3.012699842,,0.898899972,-0.025999999,9.765299797,,136,2.000499904,-1.176699972,12.77799964
1.68301E+18,2.761399658,1.238399982,-1.593299985,3.825799942,,0.889499962,-0.0149,9.766200066,,137,2.127899945,-1.608199985,13.59200001
